"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"B2,B3,B4,B5,B6,B8,B15,B18,B19,P1,P14,P15,P16";"ArthurC Lib:I%2fO";13;"I/O";;;
2;"B10,B11,B16,B17";"ArthurC Lib:I%2fO_ADR";4;"I/O";;;
3;"X1";"ArthurC Lib:Xtal_SMD3";1;"8MHz";;;
4;"P7";"ArthurC Lib:PIN_ARRAY-9X1";1;"GPS";;;
5;"B1";"ArthurC Lib:I%2fO";1;"AREF";;;
6;"P2";"ArthurC Lib:pin_strip_2";1;"BAT";;;
7;"BT1";"ArthurC Lib:CR1632";1;"Batt_RTC";;;
8;"C1,C7,C9";"ArthurC Lib:c_0805";3;"100n";;;
9;"C2,C5";"ArthurC Lib:c_0805";2;"1u";;;
10;"C10,C11";"ArthurC Lib:c_0805";2;"22p";;;
11;"D1,D2";"ArthurC Lib:d_0805";2;"LED";;;
12;"IC1";"ArthurC Lib:TQFP32";1;"ATMEGA328";;;
13;"P4,P5";"ArthurC Lib:PIN_ARRAY-6X1";2;"CONN_6";;;
14;"P6";"ArthurC Lib:pin_strip_2";1;"LiPo";;;
15;"P8";"ArthurC Lib:PIN_ARRAY-6X1";1;"FTDI";;;
16;"P9";"ArthurC Lib:ISP";1;"ISP";;;
17;"P10,P11";"ArthurC Lib:Sck-04-F-SMT";2;"CD2";;;
18;"P12,P13";"ArthurC Lib:Sck-04-F-SMT";2;"CD1";;;
19;"PCB1";"ArthurC Lib:PCB";1;"PCB";;;
20;"R1,R2,R7,R9";"ArthurC Lib:r_0805";4;"10k";;;
21;"R5,R8";"ArthurC Lib:r_0805";2;"750E";;;
22;"SC1";"ArthurC Lib:vite_3mm";1;"SCREW";;;
23;"SD1";"ArthurC Lib:SD_Micro";1;"SD_CARD_Micro";;;
24;"SW1";"ArthurC Lib:SW_SMD";1;"SW_PUSH";;;
25;"U1";"ArthurC Lib:SOT23-3";1;"3V3";;;
26;"U4";"ArthurC Lib:DS3231";1;"DS3231N";;;
27;"C3";"ArthurC Lib:C_ELCO_SMD";1;"47uF_25V";;;
