ref	value	footprint	Field1	Field2	Field3	Field4	Field5	Field6	Field7	Field8
B1	I/O	I/O
B2	I/O	I/O
B3	I/O	I/O
B4	I/O	I/O
B5	I/O	I/O
B6	I/O	I/O
B7	I/O	I/O
B8	I/O	I/O
B9	I/O	I/O
B10	I/O	I/O_ADR
B11	I/O	I/O_ADR
B12	I/O	I/O
B13	I/O	I/O
B14	I/O	I/O
B15	I/O	I/O
B16	I/O	I/O_ADR
B17	I/O	I/O_ADR
B18	I/O	I/O
B19	I/O	I/O
BT1	BATT_RTC	CR1632	BU2032SM-HD-GCT-ND 
C1	100n	c_0805
C2	1u	c_0805
C3	2u2 Tant	c_0805
C4	100n	c_0805
C5	1u	c_0805
C6	47u,10V	C_ELCO_SMD
C7	100n	c_0805
C8	100n	c_0805
C9	100n	c_0805
C10	22p	c_0805	490-1734-1-ND
C11	22p	c_0805	490-1734-1-ND
D1	LED	d_0805
D2	LED	d_0805
D3	RB886GT2R	d_VMD2
D4	RB886GT2R	d_VMD2
IC1	ATMEGA328	TQFP32
P1	I/O	I/O
P3	BootDrive	PIN_ARRAY-6X1
P4	CONN_6	PIN_ARRAY-6X1
P5	CONN_6	PIN_ARRAY-6X1
P6	9VBAT	pin_strip_2
P7	GPS_UP501	PIN_ARRAY-6X1
P8	FTDI	PIN_ARRAY-6X1
P9	ISP	ISP
P10	CD2	Sck-04-F-SMT
P11	CD2	Sck-04-F-SMT
P12	CD1	Sck-04-F-SMT
P13	CD1	Sck-04-F-SMT
PCB1	PCB	PCB
R1	10k	r_0805
R2	10k	r_0805
R3	10k	r_0805
R4	10k	r_0805
R5	1k5	r_0805
R6	10k	r_0805
R7	10k	r_0805
R8	1k5	r_0805
R9	10k	r_0805
SC1	SCREW	vite_3mm
SD1	SD_CARD_MICRO	SD_Micro
SW1	SW_PUSH	SW_SMD	
U1	3V3	SOT23-3	MCP1700T-3302E/TT
U2	74HC125	SO14E
U3	5V0	SOT23-5	MIC5219-5.0BM5
U4	DS3231N	DS3231
X1	CRYSTAL_2	Xtal_SMD2
